Iterations,Elapsed time,Pressure,Error,Status,Baro Pressure
170,0.06086874008178711,939.53271,16908288,6296576,939.93774
171,0.06297612190246582,939.53143,16908288,6296576,939.93774
172,0.06142234802246094,939.50494,16908288,6296576,939.93774
173,0.061719417572021484,939.50494,16908288,6296576,939.93774
174,0.06008648872375488,939.55988,16908288,6296576,939.93774
175,0.06212615966796875,939.53143,16908288,6296576,939.93774
176,0.06246137619018555,939.53143,16908288,6296576,939.93774
177,0.06134223937988281,939.53143,16908288,6296576,939.9397
178,0.06148505210876465,939.50562,16908288,6296576,939.9397
179,0.061849117279052734,939.50494,16908288,6296576,939.9397
180,0.06233787536621094,939.55859,16908288,6296576,939.9397
